Name of Company;Entity type;Address;Email;Site;phone_1;mobile_1
UNIFLOT;Общество с ограниченной ответственностью; Томилино,   Гаршина,   дом 3,    помещение  302  ;info@uniflot.com;http://www.uniflot.com;+74957753191;Not Data
АМТЭК;ООО; Москва,   Серебрякова пр.,   дом 14,   строение 10,   помещение  306  ;info@am-tec.ru;http://www.am-tec.ru;+74952480011;Not Data
АСМАП;Not data; Москва,   Марксистская,   дом 34,   строение 9,   помещение  ;asmap@asmap.ru;http://www.asmap.ru;+74956220000;Not Data
АльянсТрансТорг;ООО; Новосибирск,   Шевченко ул.,   дом 15,    помещение  ;att@att-nsk.ru;http://www. att-nsk.ru;+733833632250;Not Data
АГитэк Форвардинг;ООО; Новороссиск,   Видова ул.,   дом 4,    помещение  ;inbox@agitek-russia.com;http://www.agitek-russia.com;+79766666659;+79766666659
АгроКарго;ООО; Солнечногорск,   Банковская ул.,   дом 4А,    помещение  ;lnfo@agrocargo.ru;http://www.agrocargo.ru;+78007077674;Not Data
АТЛ Тейд;ООО; Москва,   Ф,Энгельса ул.,   дом 75,   строение 5,   помещение  офис 532  ;trade@atl.biz.;Not Data;+74955802803;Not Data
А.Л.Т.К.;ООО; Люберцы р.п. Томилино, мкр Птицефабрика лит А А1,      помещение  офис 105-106  ;altk@rzdu.ru;http://ooo-altk.ru;+74956681387;Not Data
Ассоциация портов и судовладельцев речного транспорта;Not data; Москва,   Ленинградское шоссе,   дом 59,    помещение  ;apsrt@mail.ru;http://www.apsrt.ru;+74956261045;Not Data
Балт Трейлер Канбан;Общество с ограниченной ответственностью; Озерки поселок,   Школьная,   дом 1,    помещение  ;balt.tk.logist@gmail.com;Not Data;+79202622865;+79202622865
BMT;Общество с ограниченной ответственностью; Санкт Петербург,   Новгородская,   дом 14,   строение А,   помещение  ;office@vmt.spb.ru;http://www.vmt.spb.ru;+78126357550;Not Data
Бедфорд Групп;Общество с ограниченной ответственностью; Москва,   Радио,   дом 24,    корпус 1,  помещение  606  ;info@bedford-logistic.com;http://www.bedford-logistic.com;+74952695930;Not Data
Бимекс Групп;ООО; Москва,   Флотская,   дом 5Б,    помещение  ;info@bimex-group.com;http:www.bimex-group.com;+74959888043;Not Data
Бертлинг Лоджистикс;ООО; Москва,   2-я Синичкина,   дом 9А,    помещение  ;moscow@bertling.com;http://www.bertling.com;+74959358682;Not Data
Баррус Проектная Логистика;ООО; Москва,   1-й Волоколамский пр.,   дом 10,    корпус 3,  помещение  ;http://www.barrusprojectlogistics.com;http://www.barrusprojectlogistics.com;+74957753747;Not Data
Белуга Проджектс Лоджистикс;ЗАО; Москва,   Проезд Завода Серп и Молот,   дом 10,    помещение  407  ;moscow@beluga-projects.com;http://www.beluga-projects.com;+74959261643;Not Data
БСФ;ООО; Новороссийск,   Адмирала Серебрякова наб.,   дом 17,    помещение  2  ;cs@bsfrussia.ru;http://www.bsfrussia.ru;+78617607044;Not Data
Барс Логистик;ООО; Ростов на Дону,   Станиславского,   дом 241/54,    помещение  ;forwarding@bars0logistics.ru;Not Data;+78632185197;Not Data
Балтика-Транс Логистика;ООО; С-Петербург,   Бумажная ул.,   дом 18А,    помещение  225 оф.  ;info@btlog.ru;http://www.btlog.ru;+78123130312;Not Data
БАЛТАМЕРИКА транспортное агентство;ООО; С-Петербург,   Канонерский остров,   дом 8 лит А,    помещение  3Н  ;management@baltamerica.spb.ru;http://www.baltamerica.spb.ru;+78123345929;Not Data
БТ-Логистикс;ООО; С-Петербург,   Двинская ул.,   дом 10,    корпус 2,  помещение  офис 15Н  ;sales@btlogistics.ru;http://www.btlogistics.ru;+78127149775;Not Data
ТЭФ Владивостоквнештранс;ООО; Владивосток,   Стрельникова,   дом 7,    помещение  707  ;mail@vvtf.ru;http://www.vvtf.ru;+74232495493;Not Data
ВР Логистик;ООО; Москва,   Мичуринский проспект,   дом 31,    корпус 7,  помещение  оф. 301  ;info@vr-logistic.ru;http://www.vr-logistic.ru;+74957801600;Not Data
ВЕЙ-ГРУПП;ООО; Красноярск,   Шумяцкого ул.,   дом 10,    помещение  5 комната 27  ;info@wayg.ru;http://www.wayg.ru;8-800-6000430;Not Data
Внешагротранс;ООО; Невинномыск,   Водопроводная,   дом 360,    помещение  22  ;yu.shaganyan@gap-rs.ru;Not Data;+78652747200;Not Data
ВОЛГА-ДОН-ТРАНССЕРВИС;ООО; Волгоград,   Пугачевская ул.,   дом 16,    помещение  офис 1002  ;vdt@vlpost.ru;http://vdtrans.ru;+8442979131;Not Data
Вайт Найтс Ойл энд Газ;АО; С-Петербург,   Казанская ул.,   дом 1/25 лит А,   строение БЦ Атриум,   помещение  офис 403А  ;info@wnog.org;http://www.wnog.org;+78123265656;Not Data
ВТА Лайн;ООО; Ростов на Дону,   Мечникова ул.,   дом 112 лит Б,    помещение  10  ;logist@vta-line.com;http://www.vta-line.com;+79282960159;+79282960159
Глогос проект;ООО; С-Петербург,   Ждановская ул.,   дом 45А,    помещение  53Н оф  ;cargo@glogos.net;http://www.glogosltd.ru;+78123098120;Not Data
